編號,物種,性別,外觀俗名,基因型,父編號,母編號,出生日,配對對象,狀態,來源,取得日期,備註
M001,和尚,公,黃化,"ino/ino",未知,未知,2022-03-15,F005,種鳥,自繁,2022-03-15,主力黃化線種公
F005,和尚,母,銀絲,"+/+, Z^op W",未知,未知,2021-08-20,M001,種鳥,購入,2022-05-01,來源：高雄某場
M012,和尚,公,藍綠,"bl/bl",未知,未知,2023-01-10,F018,種鳥,購入,2023-04-12,藍色線種公
F018,和尚,母,黃化,"ino/ino",未知,未知,2022-11-05,M012,種鳥,自繁,2022-11-05,雙隱性配對：B線F1工廠
M025,和尚,公,藍銀絲,"bl/bl, Z^op Z^op",M005,F010,2023-06-22,F030,種鳥,自繁,2023-06-22,雙效種公（外觀漂亮+split隱形）
F030,和尚,母,綠色,"bl/+, ino/+, Z^+ W",M001,F008,2023-08-15,M025,種鳥,自繁,2023-08-15,double split黃金F1
J050,和尚,母,銀絲,"+/+, Z^op W",M001,F005,2024-04-10,—,雛鳥,自繁,2024-04-10,M001×F005第三窩
J051,和尚,公,綠色split,"bl/+, ino/+, Z^op Z^+",M001,F005,2024-04-10,—,雛鳥,自繁,2024-04-10,triple split寶藏 — 留種候選
J052,和尚,母,綠色,"+/+, Z^+ W",M025,F030,2024-05-22,—,雛鳥,自繁,2024-05-22,純綠 — 待性別+基因檢測
P001,凱克,公,純黑頭,"野生型",未知,未知,2022-09-01,P002,種鳥,購入,2023-02-14,P. m. melanocephalus 亞種純度確認
P002,凱克,母,純黑頭,"野生型",未知,未知,2022-07-12,P001,種鳥,購入,2023-02-14,DNA性別鑑定+CITES II 證書
G001,大金黃,公,純種,"野生型",未知,未知,2021-05-20,G002,種鳥,購入,2024-01-05,CITES I 飼養登記+足環編號 BR-2021-G045
G002,大金黃,母,純種,"野生型",未知,未知,2021-08-30,G001,種鳥,購入,2024-01-05,CITES I 飼養登記+足環編號 BR-2021-G078
